,message
833957,젠지 체인점이 티원을 무너뜨리다
892346,처형아니었으면 하나 더 잡았겠는데ㅋㅋㅋㅋㅋㅋㅋ
9801,"급식,ㅈ문대들 5점자리 발언에 신났네 ㅋㅋ 클템 중앙대, 성캐 서강대다 ㅋㅋ"
393145,이거 승부조작임 조사해야함 연봉낮으니까 주작한듯 돈받고
887297,오너 아파서 구원대신 나옴 좀 찾아보셈
827609,티죠 사토루 ㅋㅋㅋㅋ
952479,음파 진심 줫그치 못맞추네 ㅋㅋㅋㅋ
949767,88848은 쵸비선수가 페이커선수를 상대로 낸 킬 수입니다
84433,기아 씹손해
106319,와.. 이런 실력으로 연봉을 8천이상 받는다니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
458813,베릴들어갔을 때 안 망설였으면 이길 수도 있었는데
685500,DK도 여기 쳐박혀있을 팀은 아닌데 경험치도 그렇고 2%씩 부족한 게 겹쳐서 항상 아쉬운 결과가 나오네
132199,와 얘네 진짜 프로팀맞냐
613502,롤에 R도 모르는 놈들은 조용하자 
167489,와 진짜 ㅂㄷ은 좀 교체해라
122825,0013 대떡 ㅋㅋㅋ
488684,카리스 레전드네
649221,T1을 이긴 젠지를 잡은 KT를 이긴 광동 뭐냐…ㄷㄷ
43193,내가 시청자 그만 받으라고 명령했음
594541,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이제 또 건다 디도스
424652,버그악용은 젠평 ㅋㅋ
825560,빠따 on
166038,카리스펜타킬
470628,제카는 칼챔 들어야 맛잇네 아칼리 요네 아지르.. ㄲㅂ
225151,티젠광
519645,더럽게 지겹네
631185,첫판은 딮기가 막판에 던져줘서 이겼음 ㅋㅋㅋㅋㅋ
500807,안딜 아프고나서 폼 개 나락가서 뻄
702662,롤갤폭발
195530,개똥붕 ㅋㅋ
219729,lck 화이팅!! lpl 다운!!
527745,바텀차이 개 역겹다 진짜 페이즈 리헨즈 거품즈
196842,찌엔지는 왜케 밉상이냐
319536,티원 지면 바지에 똥지림
841134,제카가 ㅈㄴ 신기한게 티젠상대로는 미드지박령인데 동부 만나면 로밍도 ㅈ되게 잘다님 ㅋㅋㅋ
788767,결국에 도란 때문에 질듯 ㅋㅋㅋ
852554,저딴 팀 한테 2패한 광똥은 뭐하는 팀이냐 ㅋㅋㅋ
98389,꼬감이 제일 무서운 사람이다. 또 서커스 해버리네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
707997,엄앵란
658836,정신병자들 많네
727619,재미없은건 니가 벤치견이라
19690,젠지가 질각이 안보인다
49410,팩트 : 저 두팀은 둘다 광동에게 개쳐발린 팀으로써 또 수면제가 될 예정 ㅋㅋ
761938,가렌유미는 롤드컵아님?
618256,채팅창에 타국인들이 너무 많네 ;;
392387,이즈가 5데스면 다른원딜이였으면 ㅋㅋ...
786978,1찍들아 나가죽자 
318660,다 못함
149445,딮기 밥 잘나오니 얼굴이 빵실해졌구나
229829,이지훈<< 걍 신이었음 ㅇㅇ.. 유입들은 절대 모름
960391,형님들 싸우지 마요 ㅠㅠ 어차피 우승은 우리 브리온이니까 ㅋㅋ
721064,윌러 개못함진짜..윌러좀짤라
590349,장난 똥빠나
461738,아니 저 느려터진 똥챔으로 어떻게 이기냐고
191169,형들 펀겜 정육점을 털어라 하면서 경기보세요 개꿀잼이에요 ㅎ
208376,1557에 걸려했던거같은데 실패! ㅋㅋ
138333,디도스 잡히면 형사처벌이다.
377295,탈리야 하고 지박령 하고 있노 ㅋㅋ
652353,젠지를 잡는 킅을 잡는 광동을 잡는 젠지는..
221185,팩트 : 티원의 롤드컵 우승은 반쪽의 반쪽짜리 우승이다 근거 1.젠지만 만나면 발리는팀이 우승팀??? 2.카나비가 애국행동으로 던져줌3.현 BLG랑 붙으면 1557이다 4.페이커는 쵸비와 나이트만 만나면 힘을 못쓴다
956848,구마는 롤드컵만되면 폼돌아옴 
999813,이방은 1557 얘기안해서 좋긴하다 ㅎㅎ
441470,젠갈 왜케 화나있음 너희팀도 아닌데 꼬박꼬박와서 t1까는데 이정도면 외곡된사랑아니냐
679324,제카 고질병인가 항상 보고있음 결정적 쌈 놔두고 엉성하게 짤려서 게임 내주네
624640,티원 이번에도 지면 디도스 탓하겠네 또
411326,또 스태틱이 안터졌노
49670,"내수용 젠지. 젠지=이디야, 티원=스타벅스"
671945,롤드컵 무^^
256911,역시 젠지의 대악마는 티원 뿐이다... 
753523,리안드리가고 멀리서 짤짤만 할꺼면 말자하나 해라
42549,에구...요즘 어린것들 무서워서 어디 나가살겠누..
805157,뎊 진짜 어지럽네
176248,미드주포인 애들이 포지션 꼬였을때 다른 라인애들 꼬인거보다 잘함
842074,엘따귀 ㅋㅋ
379732,진짜 티원 어림도 없다 ㅋㅋㅋㅋㅋ
344519,애들아 시끄러워
742542,결국 남는건 커리어 인데 티원 잘잡고 이런게 뭔 상관이냐 그렇게 따지면 토트넘이 맨시티 잘 잡으니 트레블 했겠지
527495,결승에서 슼이랑 딮기랑 만날듯
1002282,아 미치겠네 진짜 ㅋㅋㅋㅋㅋ 와!!!!
190006,이제 슬슬 태윤 찾는 댓글이 나와야대는디
34461,원딜이 계란 맞냐?? 계란으로 다죽어
948904,젠없티왕
363556,레넥톤이 아니라 라스칼입니다. 레넥톤이라는 챔피언은 없습니다.
660292,오늘 첫경기부터 좁밥대전이네 흠
350604,도적단이 따로없네 ㅋㅋㅋ
974486,브리온 진짜 처참하네 
742984,와우 88848
707125,1557은 먼지 아는데 0013은 먼가요?새로운 기록인가요???
230049,티원한테 작살난 한화 vs 광동한테 아작난 담원 진짜 가슴이 웅장해진다
905524,전문 성우라도쓰던가어케해라 ㅋㅋ
544240,1557은 리그 오브 레전드 역사에서 두 번 다시 나오지 않을 불멸의 기록이다... 역사에 남을 대기록을 남겼음에도 아직까지 10년넘게 현역으로 활동하는 대 상 혁이 새삼 대단해지네... 대 상 혁은 리그 오브 레전드의 살아 있는 역사이자 대체불가한 goat이다... 숭배하라 대 상 혁 경배하라 신 상 혁!!!
833370,에포트가 노틸 쳐문게 레전도 레전두
312453,농심조합 딜이없잖아 뭔 쓰레기조합을 주냐
496954,사탕조님 그런 틀딱 님밖에 없습니다
354390,윌러는 ㅋㅋ 개노답수준인데
273647,젠지 미드 정글이 초반 고혈챔이네 ㅋㅋㅋㅋ
577611,든든 얘는 걍 트롤인데?
527130,:smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses:
517881,조나는 쵸맘이라 무조건 젠지 승 박고 나머지는 역배 박는 역배충일 뿐임 ㅋㅋ
43422,디도스범 화이팅 ㅋㅋㅋㅋ
536284,제발 또지르 또리아나 또르키 이딴것만 안나왔음 좋겟다
822566,티원 조합 쎼보인다. 솔랭이면 15분 조기서렌각 ㄷㄷ
912007,4
184714,아오 겜 답답하노
655043,티젠전은 그래도 비등하게 싸우다 티원이 졌는데 킅젠전은 그냥 젠지가 숨도 못쉬게 패버림.. 그게 더 충격이긴핳
841016,오늘 게임하는 팀도 아닌데 떠드는 애들은 좀 나가라... 
985916,역하다
251829,둘다 잘하네 ㄹㅇ 티원팬인데 이건 젠지 잘했다 ㄹㅇ
961869,원딜 스펠 다빼고 구마는 플 있어서 이득
295595,한화 화이팅 피넛 화이팅 한왕호 화이팅 칙칙호호 칙칙호호
627694,티원 개못하면 하트 <<<
561059,3315
483587,t1운영이랑 진짜 닮았네
347192,따봉ㅋㅋㅋㅋ
60430,도란 롤드컵에서 이정도 폼만 보여줬으면 젠지가 걍 우승이었는데
676192,쵸비 골드빨 아지르 vs 페이커 0킬 딜량 1등 아지르
126777,패자조가서 dk이기고 한화이겨서 젠지 결승에서 보는각
852845,스몰더 뭔데 진짜 ㅋㅋㅋㅋㅋ
865112,아탑차이 ㅈ되네
686100,지표는 거짓말 안한다 ㅋㅋ...
584647,역시 양학은 켈황 ㅋㅋ 켈린 진짜 ㅆㄱㅈㄴ
804185,도란이랑 용준좌를 욕한단건..? 그팀팬이구나
73927,태윤없다고 왜케 경기력이 깔끔해지냐;;
113263,어느팀 경기처럼 노잼은 아니네
623707,쵸비는 8년째 세계 최고의 대회에서 2등도 못해봤는데 왜 세최 자리 이야기에 끼는건가요..?? 쇼메는 우승이라도 있어서 말 나오는게 당연한데 8년째 2등도 못해본 쵸비가 세최…???:face-green-smiling::face-green-smiling::face-green-smiling::face-green-smiling::face-green-smiling: 어떻게 피시방 대회에서 우승격력있는 사람이 국내대회 우승없이 실력을 논한단말인가..
162878,롤갤에 광동 브리온 결과나와잇네 ㅋㅋ
787449,아니 왜 자꾸 멍청한 제카한테 똑똑하게 겜해야되는 챔주냐
350037,줘언나 잘한다 진짜 ㅋㅋㅋ 디도스 핑계가 아니라 진짜 연습을 못한거잖아 이건
101981,정말 행복해..?
416069,우승해도 t1 못내려침ㅋㅋ 1회우승 한다고 4회우승을?
772294,젠지따운 ㅋ
105841,역시 짭두 ㄷㄷ
471842,엄카 ㅋㅋㅋㅋ
744644,1경기끝나니 10만명빠진거 실화냐....
971745,핵노잼경기 관중 실화임?
293570,제카는 트리 보고 요네 뽑을 수 있는 선수인데 흐음
504874,호들갑은 씨맥 ㅋㅋ
47905,오늘은 ㅇㅅㅇ 하는 사람이 없어서 좋네
969448,아니.. 잘하는거해라 또 대주지말고
841878,태윤<<재미있고 볼거리라도 있음 카리스<<노잼 미드태윤
586075,앰빠따?
213256,디도스 몇시간쨰임?
734447,티원팬인데 져도 아무렇지않음 ㅋㅋㅋ 어짜피 월즈 먹어서 배부름 ㅋㅋㅋ 
688803,후후야 쳐 닥쳐 
696554,티원은 한화한테도 따잇 ㅋ
55794,무관중의 습메이커는 젠티라도 장담 못한다
290362,익룡들 꼴이 좋아~
560798,브리온 오늘 패배시 팀 해체라던데 진짜인가요?
498310,데프트는 스몰더700으로 쳐발렷는데 키워봣자임ㅁ ㅋㅋㅋ
801389,이건 그냥 불독 불 탱커시키고 두두 커즈가 딜러해라 ㅋ
125881,ㅋㅋ티어정리 하나도 안했네 티원
113378,뭔 소리야 퍼올리면 걍 지는거지 뒤에서 죽기직전까지 딜 넣어야 그나마 할만한거지
636528,오늘 절때 솔랭 돌리지마라 사고다
838954,맞춤법 진짜 가관이네
779079,근데 바이퍼한테 왜자꾸 제리줌? 진짜 이해안됨
315022,뭘 따수워 편파중계지ㅋㅋ
164640,미스포츈이 9킬2뎃8어시를 할것같구나...
375393,케리아 젠지전애서는 이즈 칼리 꺼내지도 못하면서 다 연습한 픽이다 약팀무시아니다 이러고있는거 솔직히 역겹다
31047,젠지 삼갤 다른팀 드립은 정작 삼갤팬들보다 슼팬이 젤 많이치네
761284,씨맥 엔돌핀 100%
731021,탑차이로 kt윗쪽 정글 싹 털리네
77146,난 티원 질 거 같으면 쫄려서 그냥 재밌게 경기해서 이겨줬으면 좋겠는데
615105,젠지의 msi 성적을 단호히 감시
393296,태윤이랑 구마랑 비교하는놈들은 걍 악성까라고 볼거임. 저따구로 하는 태윤이도 연봉이 억대 ㄷㄷ
574002,애들아 지슈라가짱이다 ㅇㅇ
685700,얜 진짜 악질이네 칸나가 보고싶다니 ㅋㅋㅋㅋㅋㅋ 차라리 쌍욕을 해라
497296,정배는 한화고 도란 똥싸면 kt 이길수잇고 ㅋㅋㅋ
990065,울프는 기간도 짧은데 어시가 3000이 넘네 대상혁
549723,아오 채팅창 꼬라지;;
913154,만약에 찌엔지가 우승하거나 준우승하면 msi시드권 하나 뺏기는건가요ㅠㅠ
63554,운빨 고트 ㅋㅋㅋㅋㅋㅋㅋ
621514,고졸사토루
195430,직스 거기서 죽고 cs 어케 따라옴??
197866,커즈가 개똥쌈:face-green-smiling:
795534,젠지 트리오 트롤ㅋㅋ
695018,쵸비는 이미 월즈2개있음 이번에만 들면 페이커 따라잡는다
628803,아니 숙련도 없으면 꺼내질 말아야지
350512,탑차이 ㅁㄷ차이 땜에 졌네
97273,구마는 진짜 못함
498003,바이퍼 진짜 원딜 잘한다 내년에 티원각이다
790433,근데 관객없는데 진짜 쾌적하긴함 ㅋㅋㅋ
738528,이찹이찹이칩찹
463470,맨날 녹방생방 무의미한 싸움 하고있는 롤붕이들 수준 ㅋㅋ
627864,여기 인생패배자들 존나 많넼ㅋㅋㅋㅋ
539435,1557은 리그 오브 레전드 역사에서 두 번 다시 나오지 않을 불멸의 기록이다... 역사에 남을 대기록을 남겼음에도 아직까지 10년넘게 현역으로 활동하는 대 상 혁이 새삼 대단해지네... 대 상 혁은 리그 오브 레전드의 살아 있는 역사이자 대체불가한 goat이다... 숭배하라 대 상 혁 경배하라 신 상 혁!!!
269140,승패를 떠나서 겁나잼있는시리즈네
273747,젠지 바텀하고 정글 멘탈 나갔어
536787,오늘 경기잼있네 ㅋ 1경기는 꼴찌대전 2경기는 1위대전
249668,뭐하냐 ㅋㅋㅇㅋㄱㅋ
410567,쵸비는 대상혁 외치고 호감이던데 쵸맘들은 진짜 비호감이네
981784,젠지 올해는 4강까지 가겠네
783926,:winking_face_with_tongue::winking_face_with_tongue::winking_face_with_tongue:
115300,진짜 라인전 원툴팀이네 한타 개못 라인상성 유리한거만 하는 이유가있다
177365,젠지 딲떄ㅋ
767565,퀀텀은 개못하는데
379901,영토의 무결성을 지지해야겠다
383683,안딜 폼 왜이리 떡락했냐...
928610,놀이터 우승하면 뭐함 ㅋㅋㅋㅋ 국제전 가면 또 중국한테 대주는데 ㅋㅋㅋ
740033,중국팀 응원하시는분들 비난 자제해주세요..
568009,여긴 씨맥한테 열등감있는 아이언들밖에없노
998529,우리 정글이였음 점멸써서 킬딸했다
222745,준위가 있으면 준병도있고 준사도 있겠네 ㅋㅋ
486262,올라갈 일만 남았구나 광동아 ㅠㅠ 풀옵까지 가보자 진짜 
80311,세체폿 미쳣네 진짜…..
441701,세나한 걸로 cs를 따지네ㅋㅋㅋㅋ
133316,킨드가 왕귀지 뭔 스노우볼 챔이여
427781,실비김치 맵노 
230032,승부예측 1 젠지 2 티원 3 한화 4 광동 5 kt 6 fox 7 담원 8 drx 9 농심 10 브리온
743697,중국이이기는거면 젠지가 이기겠네 ㅋㅋ
841923,1경기 POG는 카리스지 카리스가 한화 캐리해줬는데 누굴줘? ㅋㅋㅋㅋㅋㅋ
878813,캡틴잭 왤케 잘생겼냐;; 남자인 나도 고백받으면 넘어가겠다;;
94846,그냥 딱 나오자너 ㅋㅋ 대진운좋아서 우승한거여~
137615,진짜 롤 망했네 ㅋㅋ
216315,아 재미없다 디도스야 1절만해라
880531,꾸준히 잘한건 바텀인데 중간에 슈퍼플레이들 때문에 미드나 정글이 받을수도
798009,도맘들 정신나갔냐 ㅋㅋ 초반에 갑분싸된거 도란때문인데
409510,제발 오늘 디플 이겨라 제발 제발제발 캐니언 죽여
265329,페이커는 ㄹㅇ 개못하네 저것도 딜계산못해서 처명 ㅋㅋㅋㅋ
254958,결승은 역시 켈황 ㅋㅋ 무관은 역시 켈황 ㅋㅋ 애니서폿은 역시 켈황 ㅋㅋ
900628,다른건 몰라도 올해도 롤드컵은 LCK가 먹겠네
661184,젠지 비하하시면 중국 공안에 신고합니다.
277533,t1화이팅
639467,구마유시 5초짜리 매혹걸렸네 ㅋㅋ
205412,젠지는 있지도 않는데 여기 T1팬들 원래 이럼 ???????????ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
533048,ㄷㄷㄷ 존나 재밌노
107902,한화가 대떡낸거 기억 안나는 슼갈이면 개추~~
301608,씨맥이랑 맞짱뜨면 이길것 같다 = 1 질것 같다 = 2
948513,루시드 진짜 심각하다
527441,진짜 너무너무 사랑한다 고맙다 DK!!!!!!
584968,세탑 요네 겁나 못하는데 왜 자꾸 하는거야
609125,딴딴무찍
342703,cs드립은 뭐냐 ㅋㅌㅋ
16857,개사기 챔프 ㅋㅋㅋㅋ
221980,거품빠진단 얘기 들리자마자 불지르네ㅋㅋㅋㅋㅋㅋ
380857,젠지는 계속 1티어 픽 가져오면서 픽부터 이득 보는데 티원은 자꾸 광대픽하고있네;; 티원팬임
926289,와 트타 ㅈㄴ 쎄다 ㅋㅋ
868351,88848 플러스3315~~ㅋㅋㅋㅋㅋ
707309,제우스 아트록스 주지마라고
101602,케리아 ㅋ:smiling_face_with_heart_eyes:
380268,대체 까는 이유가 뭐임 티원팬들이나 젠지팬들이나 수준보이네 ㅋㅋㅋ
888660,우리 오너 빨리 나아라 아프지말자 다들 :crying_face::crying_face::crying_face:
646175,승민아 기인고사가 어려워도 잘 해야한다
173225,잼민이들딱밤마렵네 데프트가 한때 룰러찢었건시절모르나
791920,슥갈 낼 딮플 경기나 걱정해라 너네 현생은 더 걱정일거고
953020,댓글보면 진짜 수준이
640148,그 격 떨어지는 팀에 5꽉 간 팀이 어디지
577726,콜미가 이팀 미드인 이상 플옵영원히 못감
619219,롤드컵끝난지 몇달됐는데 아직도 롤드컵부심부리노 ㅋㅋ
810385,준위가 있으면 준장도 있고 준령도 있겠네 그지?
148741,정말 일방적으로 처맞는거만 보여주고 있네 그래도 프론데 뭐좀 해봐라 친구들아 
624116,역시 pog 쵸비 몰아주기의 주인공 쵸맘스트롱 ㅋㅋㅋㅋㅋㅋㅋ
865113,라스칼은 팀에게 용을 먹이는 탑이다
98292,알리 개쳐맞을거같은데
777864,진짜 노잼경기네
400093,ㅋㅋㅋㅋㅋㅋ퍼펙트가 바이 다키워놔서 이제 바이 마주치면 그냥 뒤져야되네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
753219,채팅창만보면 전부 챌린저네
213463,젠지는 디도스안걸림?
148417,8년째 신인 에포트 
567586,젠지6만 광동10만뷰 ㅋㅋㅋㅋ옼ㅋㅋㅋㅋㅋ
715350,솔직히 작년 롤드컵도 도란 땜에 짐
860957,아니 세나 탐켄치 조합 모르는애들 왤케 입터냐 그냥 모르면 가만히 있자 브실골들아
785315,탐켄 개트롤이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
53107,구멍뚫린 그물 ㅋㅋ
277082,:smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses:
371615,젠지가 글케 잘하면 도대체 국제전에서는 못하는 건데
180048,바론쌈 젠지가 이기고 용도 젠지가 먹고 젠지가 이김 ㅅㄱ
260346,반지 겁나 알리에서 3천원에 팔거같이생겼네 ㅋㅋ
431757,킬미 ㅋㅋㅋㅋ
592352,88848팬 여러분 그만하세요
993511,레넥톤은 진짜 개쓰레기고 애쉬원딜은 좀 별론데
504183,루 똥 드
655547,4
907331,미필들이 준위가 있다고 자꾸 우기시는데 어그로 그만 끄세요. 준위가 아니라 중위입니다. 준위가 있다면 준병 준사 준령도 있겠죠. 일부 사람들이 DP2에 준위라는 계급이 나온다고 하는데 그건 해당 작품의 재미를 위해 설정한 허구의 계급입니다. 그러므로 준위라는 계급은 없습니다.
453990,노블 어쩌구 쟤는 진짜 찐인거같아서 좀 안타깝네
15718,사실엄밀히 따지면 젠지는 중국을 지지한다고 했기때문에 중국이아니라 조선족에 가까움
777434,"6번 무관이면, 6번 다 그 자리에 있던 사람의 잘못이 아닐까?"
928759,쫌 제발! 페이커의 P자도 모르면서 이커형 욕하지세요 쫌;! 부탁드립니다;
974405,엔비 또 이즈했네
925690,소년가장 제우스 비행청소년 페이커
174033,콜미 뭐하냐..
211336,중국놈들 가지가지하네
227783,슼평 존나낮네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
283375,디도스컵 드립은 뇌가 마비가 온건가 ㅋㅋㅋㅋㅋ
227072,LPL 씨다씨
916232,젠지는 롤드컵 4강이나가고말하라니까 ㅋㅋㅋ 뭔 쓰리핏타령임 쓰리핏하고 8강딱 아무팀도없어 ㅋㅋㅋㅋ
463927,ㄹㅇ 눈썩을거같다
444308,아 똥터
666630,박탈 ㅇㅈㄹ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭐자격증임?? 수준하곤
776466,잰지는 왜 티원밴픽을 쳐하고있냐
48414,원딜빼고 다못하노 ㅋㅋ
303726,씨맥 맨날 꼴등 하는데 왜빨아주는거임?
909690,아빠와 아들 ㅡㅋㅋㅋㅋㅋㅋㅋㅋ
536173,엔비 원딜이 kda 1이 뭐냐 ㅋㅋㅋㅋㅋ 서폿이냐
879810,1557 용사들 약팀상대로 신났네 ㅋㅋ
277618,:smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses:
761061,문득 태윤에게 갈린 준과 모함이 생각나서 가슴이 시려온다...
158484,무슨 경기를 27시간동안 하냐
281152,또 젠지 우승 ;
121943,tê liệt < 3:0 daddy hle:face-blue-smiling::face-blue-smiling::goodvibes::goodvibes::goodvibes:
294495,흔들기가 맞나 잘 먹고 잘 막앗는데..
299876,ㅈㄴ 부럽다
450293,어제 티원 싸웠나요 ? 왜 패쓰 안해줌 ?
525310,5꽉 기념 기습숭배합니다 lck의 영원한 왕 쭌쭌이형 1557-0013
312173,솔찍히 젠지 중국팀이라고 욕하는 사람들... 그래도 중국게임 리그 오브 레전드 사랑하시죠?
772659,젠지 포핏 이러는거 약겨웠는데 ㅋㅋ
785517,"쵸비가 세최미는 아닐수도 있음, 근데 페이커보단 잘함 ㅇㅇ"
456625,우렁차다
446172,애초에 초반 요네가 억까 당해서 페이커가 앞선에서 무리한거 아닌가요?
835103,윌러정도면 대학교에서 의자왕 놀이 가능
990695,강타싸움 3연벙 당했네ㅋㅋㅋㅋㅋ'
456941,롤드컵 우승자 2명 vs 3명 대진이네
660865,젠지 스트리머 미스틱인것만 봐도 수준나옴ㅋㅋ
547683,오늘은 ㅇㅅㅇ치는 사람없어서 좋네 ㅎㅎㅎㅎ
110149,오렌지 젠지한테 ㅋㅋ 맞을듯ㅋㅋㅋ
227265,상체는 젠지가 쎄네 ㅠ
652985,LPL 5시드 따운!!!!
929357,쵸비 뭐한거냐 ㅋㅋㅋ ㄷㄷ
244228,대나스트롱만 믿는다
91102,아트 걍 해줄것도 없으면 걍 딜이나 넣지
917293,솔랭 비상 서폿터가 포골 혼자 먹어..
316771,카리스ㅋㅋㅋㅋㅋㅋ
607175,광브전 안한다고 롤리나잇도 안해
675814,제카 너무거품임 제카만비정상
112183,네 티원고객님 패자조로 안내드리겠습니다
104017,어따쏘냐
788020,아니 중국팀을 왜 빠는거임 대체?
250226,정~말 달콤해
227369,씨맥 힘숨찐이었노
903486,정보 : 세텝은 롤 시작한지 3개월만에 챌린저 1200점을 찍었다.
49060,콜미 뭐함 ㄹㅇ
972564,국내대회 이기면 뭐하냐~중국팀한테 졌는데
859670,요네 마딜도 27프로정도로 알고 있는데 사실상 디알엑스 올에이디 아님?
154004,부산대가 가천대 밑이라니 ㅋㅋ... 지방 할당때문이라도 훨씬 낫지. 본인 냥대
487894,카리스만 2군으로 내리면 꼴등은 면할듯
686684,역시 똥란
152561,크트 와드 진짜 잘박았네 갈때마다 와드로
36264,사일 플도 안쓰고 죽여서 치명적이네
899865,젠지 선수단 비하할시 캡처해서 고발합니다
479990,88848 전화번호 인가요?
824422,와 투원딜 맞다이 ㄹㅇ 말도안돼게 발리네 ㅋㅋㅋ
575268,어제 티원 1세트 딴게 운이 아니라니깐??
975457,젠지는 LPL 중국팀입니다.
487711,놀랍게도 쵸비와 에포트는 우승횟수가 같다.
445268,카르마 존나쌔다
470390,똥 넛
510691,킬스코어는 1킬차이인데 골드차이가 왜이런ㄷ야
94375,구마 겜 하기 짜증나겠다 바루스 어케 사냐 ㅋㅋ
536093,이번에 지면 다음부턴 서부권 들이랑 게임해야해서 사실상 오늘 1승 꼭 챙겨야죠
592097,브리온 광동 팬들은 어떡하냐
744946,히힛 발싸
217005,딸깍 딸깍 ㅁㅊㅋㅋㅋㅋㅋㅋㅋㅋㅋ
834919,피어엑스 팬 분들 플옵 진출 축하드립니다!!!!!!:rocket::rocket::rocket:
960240,1557은 어캐 당한 거냐
453154,오늘정신못차리네제우스ㅋ
335192,대상혁 치는애들 ppap 땃 ㅓ다 고소한다
86420,물용 아트 ㅈㄴ 어지럽네
943985,두 팀다 화이팅! 제오페구케 화이팅! 킹루쇼에켈 화이팅!
57289,피어엑스 플옵 막차 가능할수도 있겠는데??
293450,벤ㅡㅡㅡㅡㅡ치ㅡㅡㅡㅡ혁 쵸비한테 발렸쥬? ㅋㅋㅋㅋ
976491,젠지는 응원해주는데 왜 화내나요 젠지 짜요 짜요!
640115,젠지 까내리는 발언 전부 캡쳐하고 법무팀에 문의하겠습니다. iq 추적하고 보이스피싱 업체에 모든정보 넘기겠습니다. 발언 조심해주세요. 서로 격려해주면서 봅시다.
18620,피어엑스는 뇌지컬이 딸리네 그냥
49521,켈황진짜ㅆ간지네
225814,메시도 마지막에 월드컵 우승하면서 goat가 되었다… 쵸비는 이번에 포핏하고 마지막으로 롤드컵 우승 한번만 하면 바로 역체미 등극이다 ㄷㄷㄷㄷㄷㄷㄷㄷ
81804,보고있냐 레클아ㅋㅋ 서폿은 이래하면 된다
46549,콜미 순간 앞플쓰고 다섯명 아무도 못맞췄을때 선수들 10명 다 잠깐 멈추고 해설도 1초간 정적함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
30965,농심은 미드만 바뀌면 개올라갈수있다
816602,진짜 개 노잼게임이다 ㅋㅋㅋㅋ
657902,내수에서 티원이기고 킅한테 지는건 2년동안 국룰임
957066,ㅋㅋㅋㅋㅋ나도 해품해버럈어 넘 맛있게해서
122856,티원상대로는 눕고 밸류픽하면 이김 왜냐 구마유시가 후반갈수록 딜을 못넣음
313445,개숏습ㄷㄷ
969429,교도소 출소한지 1557일 됬습니다. 그만하세요 찾아갖니다.
776220,1557 0013 보다 재밌다 ㅋㅋ
280911,ㅈㅈㅈㅈ 막판에 쌌네... 진짜 
753868,어차피 동부팀들은 서부한테 싹다 질거니깐 남아 있는 경기 전부 몰수패 시키고 서부 경기만 보자 눈썩는다
879799,그팀팬 다나갓네
237302,젠평 ㅋㅋ
773440,HLE 쵸비 모드 ㄷㄷ
869149,왕따는 중국 빠는 젠지고
8218,롤의 R도 모르는것들이 뭘안다고 ㅋㅋ;;
614296,든든 요네 꺼내지마라 ㅋㅋㅋㅋㅋ
656356,뽀삐도 궁한번을안쓰네 ㅋㅋ 일단 탑차이 ㅋㅋ
699576,갈드컵 그만좀해라 
308534,88848 도배하지 마세요
577951,농심한테 따잇당한 현재의 티원이 과연 지금 폼 최정상을 찍고 있는 한화를 이길 수 있는가? 
734050,오너 들어올 거 뻔해서 칼리가 쉽게 플반응하네
120821,티원 드디어 몰락하네 msi도 못갈듯
30681,전캐 욕하는애들은 어느팀응원함? ㅋㅋ뭔가 알것도같은데
471097,미드가 쵸비라서 피넛 정글이 잘해보였던거지 지금보셈 존재감 씹제로
783375,개무섭다 쵸비ㅋㅋㅋㅋㅋ
403497,퍼펙트 말려도 한타때 자기 역할은 했어
28305,티원경기가 제일재밌네
260459,제우스 자꾸 짤려서 좀 의기소침해진듯 ㅠㅠ 힘내라
866777,ㅋㅋㅋㅋㅋㅋ 라스칼은 진짜 제일 못하는듯
163158,유출된거아니고 저번주 1라경기아님? 1라 마지막이랑 2라 첫게임 광브전임 ㅇㅇ
350949,무관인가요?
381347,"탑차이지.... 트타가 텔도 없었으면, 트페를 숨도못쉬게 몰아붙였어야지..."
397466,쵸비 롤드컵 성적
629327,디도스만 걸고 넘어지는 그 팀들 ㅠㅠ
208685,아씨
600698,디도스 ㄹㅇ 개쩌네
672079,"삼성화이트, 삼성갤럭시 때 우승했다고 별 2개?"
